Price,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT,AAPL,AMT,JNJ,MSFT,PFE,PLD,TGT,WMT
Date,,,,,,,,,,,,,,,,
2024-01-18,187.50424194335938,197.23098754882812,155.02198791503906,390.16424560546875,26.04132843017578,122.27818298339844,132.31283569335938,53.76885223388672,78005800,2881000,5368500,23392100,50321100,4062900,4160700,18190500
2024-01-19,190.416748046875,197.19229125976562,155.4739227294922,394.9190368652344,26.217470169067383,124.38943481445312,133.02545166015625,53.48558044433594,68741000,1986400,7055800,29272000,35313100,3559000,3515300,19175400
2024-01-22,192.7328338623047,197.33740234375,156.23361206054688,392.7793884277344,26.245281219482422,124.67997741699219,135.1632537841797,53.48887252807617,60133900,2185500,6824200,27016900,41663900,2280900,2778700,13938300
2024-01-23,194.01515197753906,195.63504028320312,153.6757049560547,395.1468811035156,26.356531143188477,123.97299194335938,135.66400146484375,53.62391662597656,42355600,2108900,9149800,20525900,33466700,3426400,2806800,12066600
2024-01-24,193.33920288085938,190.31520080566406,152.85836791992188,398.7724609375,26.263824462890625,121.48404693603516,134.0461883544922,52.866336822509766,53631300,3308500,7247900,24867000,42720700,3491500,2845900,22932900
2024-01-25,193.0111846923828,193.65219116210938,153.435302734375,401.06072998046875,25.849777221679688,122.22007751464844,136.9158477783203,53.63709259033203,54822100,2510500,5478900,21021200,47605500,2590400,2566500,16369500
2024-01-26,191.27162170410156,190.8278045654297,153.3776092529297,400.1295471191406,25.849777221679688,122.86894226074219,137.25289916992188,54.108116149902344,44594000,1831100,5591900,17803300,47073800,2333000,3014800,15746400
2024-01-29,190.5857391357422,192.5882110595703,153.24298095703125,405.8650817871094,25.85918426513672,123.85677337646484,136.2803192138672,54.36174392700195,47145600,2466000,6483200,24510200,67082700,2553900,4879000,18240300
2024-01-30,186.91775512695312,189.1544952392578,152.67564392089844,404.7457580566406,25.426319122314453,122.53966522216797,135.31732177734375,54.54290771484375,55859400,2428100,7200500,33477600,86072400,2764300,2879500,15270000
2024-01-31,183.29949951171875,189.24154663085938,152.80062866210938,393.8393249511719,25.482778549194336,122.69463348388672,133.93064880371094,54.430912017822266,55467800,2454100,8256800,47871100,81192100,4811300,5804400,26134800
2024-02-01,185.74481201171875,191.8917999267578,152.2813720703125,399.9809875488281,25.68039321899414,126.32636260986328,139.07293701171875,55.4388313293457,64885400,2700800,8012000,30657700,53883000,3984000,3613900,20792700
2024-02-02,184.7408447265625,187.17164611816406,150.5985565185547,407.3509521484375,25.34162712097168,125.17388916015625,140.10333251953125,55.85386276245117,102518000,2914000,8295500,28245000,51663800,4195000,3775800,21670800
2024-02-05,186.55992126464844,183.26397705078125,149.8196563720703,401.8333435058594,25.00286102294922,122.90768432617188,137.06031799316406,55.55411911010742,69668800,2489100,9121600,25352300,42633400,3591800,4697400,19145100
2024-02-06,188.17022705078125,185.3919219970703,151.99288940429688,401.67486572265625,25.878007888793945,126.38446807861328,139.08253479003906,55.93291091918945,43490800,1777000,9229900,18382600,56958700,3764300,2873200,14181300
2024-02-07,188.2795867919922,187.27804565429688,151.91595458984375,410.15435791015625,25.934467315673828,125.01893615722656,141.29737854003906,55.79127502441406,53439000,2254800,8690300,22340500,36843000,3907500,3979600,17082600
2024-02-08,187.19610595703125,187.29739379882812,150.3966064453125,410.2137756347656,25.943878173828125,127.50788879394531,141.9425811767578,55.78798294067383,40962000,2001100,9755000,21225300,29048400,3261000,2946900,14427900
2024-02-09,187.96246337890625,188.0711669921875,150.74278259277344,416.5931701660156,25.934467315673828,128.30203247070312,141.1048126220703,55.75833511352539,45155200,1903900,6529200,22032800,29062700,2870400,2792400,14329800
2024-02-12,186.27044677734375,185.4886474609375,151.79095458984375,411.3529357910156,26.0285701751709,127.88558197021484,143.86856079101562,56.09431076049805,41781900,1589700,6701500,21202900,30323700,2523800,3492600,14795100
2024-02-13,184.17037963867188,182.2483673095703,150.4639129638672,402.4970703125,25.37926483154297,126.75250244140625,140.70034790039062,55.71222686767578,56529500,3512500,8621000,27824900,37927500,4759100,3061800,18574200
2024-02-14,183.28456115722656,182.3160858154297,149.76193237304688,406.3873596191406,25.511009216308594,126.38446807861328,139.66033935546875,55.534358978271484,54630500,1818100,9098800,20401200,25270200,4294100,2986400,18484500
2024-02-15,182.99594116210938,183.25430297851562,151.85826110839844,403.4795837402344,25.88741683959961,128.90248107910156,140.91220092773438,55.76163101196289,65434500,2411900,7462500,21825500,36111600,3409200,2807600,16948800
2024-02-16,181.4532012939453,181.0006103515625,151.683837890625,400.9985656738281,25.990930557250977,129.18333435058594,144.07077026367188,56.114078521728516,49701400,2127200,8540700,22281100,35913500,3421200,4318400,22373400
2024-02-20,180.7067413330078,182.22900390625,152.95314025878906,399.7381286621094,25.962697982788086,129.14459228515625,145.40953063964844,57.92569351196289,53665600,2241000,9501700,24307900,34232000,2995200,3474400,71788500
2024-02-21,181.46316528320312,182.054931640625,153.74765014648438,399.13275146484375,26.037981033325195,129.21238708496094,144.34239196777344,57.21422576904297,41529700,1863200,7473300,18631100,27370600,2436400,2307600,40551600
2024-02-22,183.50350952148438,181.85179138183594,155.46261596679688,408.531005859375,25.92505645751953,129.2317657470703,145.8460693359375,57.7774772644043,52292200,2149700,8065000,27009900,31957500,2946900,2503800,29512800
2024-02-23,181.66224670410156,183.70889282226562,156.80941772460938,407.2309265136719,26.122671127319336,129.00900268554688,146.95199584960938,57.82687759399414,45119700,1458600,6726000,16295900,33182600,2131800,3503600,74365800
2024-02-26,180.30860900878906,181.5712890625,155.79205322265625,404.4521484375,25.576879501342773,128.37950134277344,145.6617431640625,58.89408493041992,40867400,3310700,5465400,16193500,45685500,2000500,3856900,32154800
2024-02-27,181.77171325683594,180.5653533935547,155.9761505126953,404.39263916015625,25.303983688354492,128.3117218017578,147.44674682617188,58.88420867919922,54318900,4672100,5078600,14835800,38598400,2976900,2851700,18012700
2024-02-28,180.56739807128906,187.41343688964844,156.52845764160156,404.63079833984375,25.445138931274414,129.764404296875,146.9132080078125,58.913848876953125,48953900,4059100,6071100,13183100,31010200,2478800,2298300,14803300
2024-02-29,179.90054321289062,192.34640502929688,156.3637237548828,410.5059509277344,24.99344825744629,129.06712341308594,148.3489532470703,57.91581344604492,136682600,4676900,9849100,31947300,54643200,5131300,4447800,29245100
2024-03-01,178.81565856933594,195.15139770507812,157.08071899414062,412.3518371582031,25.021678924560547,130.3551788330078,150.6481170654297,58.06403350830078,73488000,3473500,5668000,17800300,46213600,2786500,4284000,19017700
2024-03-04,174.277099609375,199.3976287841797,154.87159729003906,411.7762451171875,24.36296844482422,129.39637756347656,145.99160766601562,58.59763717651367,81510100,2851800,8532900,17596000,86777700,3316200,9096100,16033300
